week,kickoff,home_team,away_team
8,2015-11-01T13:00:00-05:00,Bears,Vikings
8,2015-11-01T13:00:00-05:00,Ravens,Chargers
8,2015-11-01T13:00:00-05:00,Steelers,Bengals
8,2015-11-01T13:00:00-05:00,Texans,Titans
8,2015-11-01T16:05:00-05:00,Raiders,Jets
8,2015-11-01T16:25:00-05:00,Cowboys,Seahawks
8,2015-11-01T20:30:00-05:00,Broncos,Packers
8,2015-11-02T20:30:00-05:00,Panthers,Colts
9,2015-11-05T20:25:00-05:00,Bengals,Browns
9,2015-11-08T13:00:00-05:00,Panthers,Packers
9,2015-11-08T13:00:00-05:00,Patriots,Redskins
9,2015-11-08T13:00:00-05:00,Saints,Titans
9,2015-11-08T13:00:00-05:00,Bills,Dolphins
9,2015-11-08T13:00:00-05:00,Vikings,Rams
9,2015-11-08T13:00:00-05:00,Jets,Jaguars
9,2015-11-08T13:00:00-05:00,Steelers,Raiders
9,2015-11-08T16:05:00-05:00,Buccaneers,Giants
9,2015-11-08T16:05:00-05:00,49ers,Falcons
9,2015-11-08T16:25:00-05:00,Colts,Broncos
9,2015-11-08T20:30:00-05:00,Cowboys,Eagles
9,2015-11-09T20:30:00-05:00,Chargers,Bears
10,2015-11-12T20:25:00-05:00,Jets,Bills
10,2015-11-15T13:00:00-05:00,Packers,Lions
10,2015-11-15T13:00:00-05:00,Buccaneers,Cowboys
10,2015-11-15T13:00:00-05:00,Titans,Panthers
10,2015-11-15T13:00:00-05:00,Rams,Bears
10,2015-11-15T13:00:00-05:00,Redskins,Saints
10,2015-11-15T13:00:00-05:00,Eagles,Dolphins
10,2015-11-15T13:00:00-05:00,Steelers,Browns
10,2015-11-15T13:00:00-05:00,Ravens,Jaguars
10,2015-11-15T16:05:00-05:00,Raiders,Vikings
10,2015-11-15T16:25:00-05:00,Giants,Patriots
10,2015-11-15T16:25:00-05:00,Broncos,Chiefs
10,2015-11-15T20:30:00-05:00,Seahawks,Cardinals
10,2015-11-16T20:30:00-05:00,Bengals,Texans
11,2015-11-19T20:25:00-05:00,Jaguars,Titans
11,2015-11-22T13:00:00-05:00,Lions,Raiders
11,2015-11-22T13:00:00-05:00,Falcons,Colts
11,2015-11-22T13:00:00-05:00,Texans,Jets
11,2015-11-22T13:00:00-05:00,Eagles,Buccaneers
11,2015-11-22T13:00:00-05:00,Bears,Broncos
11,2015-11-22T13:00:00-05:00,Vikings,Packers
11,2015-11-22T13:00:00-05:00,Ravens,Rams
11,2015-11-22T13:00:00-05:00,Dolphins,Cowboys
11,2015-11-22T13:00:00-05:00,Panthers,Redskins
11,2015-11-22T16:05:00-05:00,Cardinals,Bengals
11,2015-11-22T16:25:00-05:00,Seahawks,49ers
11,2015-11-22T20:30:00-05:00,Chargers,Chiefs
11,2015-11-23T20:30:00-05:00,Patriots,Bills
12,2015-11-26T12:30:00-05:00,Lions,Eagles
12,2015-11-26T16:30:00-05:00,Cowboys,Panthers
12,2015-11-26T20:30:00-05:00,Packers,Bears
12,2015-11-29T13:00:00-05:00,Texans,Saints
12,2015-11-29T13:00:00-05:00,Bengals,Rams
12,2015-11-29T13:00:00-05:00,Falcons,Vikings
12,2015-11-29T13:00:00-05:00,Redskins,Giants
12,2015-11-29T13:00:00-05:00,Colts,Buccaneers
12,2015-11-29T13:00:00-05:00,Chiefs,Bills
12,2015-11-29T13:00:00-05:00,Titans,Raiders
12,2015-11-29T13:00:00-05:00,Jaguars,Chargers
12,2015-11-29T13:00:00-05:00,Jets,Dolphins
12,2015-11-29T16:05:00-05:00,49ers,Cardinals
12,2015-11-29T16:25:00-05:00,Seahawks,Steelers
12,2015-11-29T20:30:00-05:00,Broncos,Patriots
12,2015-11-30T20:30:00-05:00,Browns,Ravens
13,2015-12-03T20:25:00-05:00,Lions,Packers
13,2015-12-06T13:00:00-05:00,Giants,Jets
13,2015-12-06T13:00:00-05:00,Rams,Cardinals
13,2015-12-06T13:00:00-05:00,Buccaneers,Falcons
13,2015-12-06T13:00:00-05:00,Saints,Panthers
13,2015-12-06T13:00:00-05:00,Vikings,Seahawks
13,2015-12-06T13:00:00-05:00,Bills,Texans
13,2015-12-06T13:00:00-05:00,Dolphins,Ravens
13,2015-12-06T13:00:00-05:00,Browns,Bengals
13,2015-12-06T13:00:00-05:00,Titans,Jaguars
13,2015-12-06T13:00:00-05:00,Bears,49ers
13,2015-12-06T16:05:00-05:00,Chargers,Broncos
13,2015-12-06T16:05:00-05:00,Raiders,Chiefs
13,2015-12-06T16:25:00-05:00,Patriots,Eagles
13,2015-12-06T20:30:00-05:00,Steelers,Colts
13,2015-12-07T20:30:00-05:00,Redskins,Cowboys
14,2015-12-10T20:25:00-05:00,Cardinals,Vikings
14,2015-12-13T13:00:00-05:00,Eagles,Bills
14,2015-12-13T13:00:00-05:00,Browns,49ers
14,2015-12-13T13:00:00-05:00,Rams,Lions
14,2015-12-13T13:00:00-05:00,Buccaneers,Saints
14,2015-12-13T13:00:00-05:00,Jets,Titans
14,2015-12-13T13:00:00-05:00,Bengals,Steelers
14,2015-12-13T13:00:00-05:00,Texans,Patriots
14,2015-12-13T13:00:00-05:00,Jaguars,Colts
14,2015-12-13T13:00:00-05:00,Chiefs,Chargers
14,2015-12-13T13:00:00-05:00,Bears,Redskins
14,2015-12-13T13:00:00-05:00,Panthers,Falcons
14,2015-12-13T16:05:00-05:00,Broncos,Raiders
14,2015-12-13T16:25:00-05:00,Packers,Cowboys
14,2015-12-13T20:30:00-05:00,Ravens,Seahawks
14,2015-12-14T20:30:00-05:00,Dolphins,Giants
15,2015-12-17T20:25:00-05:00,Rams,Buccaneers
15,2015-12-19T20:25:00-05:00,Cowboys,Jets
15,2015-12-20T13:00:00-05:00,Vikings,Bears
15,2015-12-20T13:00:00-05:00,Jaguars,Falcons
15,2015-12-20T13:00:00-05:00,Colts,Texans
15,2015-12-20T13:00:00-05:00,Eagles,Cardinals
15,2015-12-20T13:00:00-05:00,Giants,Panthers
15,2015-12-20T13:00:00-05:00,Patriots,Titans
15,2015-12-20T13:00:00-05:00,Redskins,Bills
15,2015-12-20T13:00:00-05:00,Ravens,Chiefs
15,2015-12-20T16:05:00-05:00,Seahawks,Browns
15,2015-12-20T16:05:00-05:00,Raiders,Packers
15,2015-12-20T16:25:00-05:00,Steelers,Broncos
15,2015-12-20T16:25:00-05:00,Chargers,Dolphins
15,2015-12-20T20:30:00-05:00,49ers,Bengals
15,2015-12-21T20:30:00-05:00,Saints,Lions
16,2015-12-24T20:25:00-05:00,Raiders,Chargers
16,2015-12-26T20:25:00-05:00,Eagles,Redskins
16,2015-12-27T13:00:00-05:00,Jets,Patriots
16,2015-12-27T13:00:00-05:00,Titans,Texans
16,2015-12-27T13:00:00-05:00,Chiefs,Browns
16,2015-12-27T13:00:00-05:00,Dolphins,Colts
16,2015-12-27T13:00:00-05:00,Saints,Jaguars
16,2015-12-27T13:00:00-05:00,Lions,49ers
16,2015-12-27T13:00:00-05:00,Bills,Cowboys
16,2015-12-27T13:00:00-05:00,Buccaneers,Bears
16,2015-12-27T13:00:00-05:00,Falcons,Panthers
16,2015-12-27T13:00:00-05:00,Vikings,Giants
16,2015-12-27T16:25:00-05:00,Seahawks,Rams
16,2015-12-27T16:25:00-05:00,Cardinals,Packers
16,2015-12-27T20:30:00-05:00,Ravens,Steelers
16,2015-12-28T20:30:00-05:00,Broncos,Bengals
17,2015-01-03T13:00:00-05:00,Bills,Jets
17,2015-01-03T13:00:00-05:00,Dolphins,Patriots
17,2015-01-03T13:00:00-05:00,Panthers,Buccaneers
17,2015-01-03T13:00:00-05:00,Falcons,Saints
17,2015-01-03T13:00:00-05:00,Bengals,Ravens
17,2015-01-03T13:00:00-05:00,Browns,Steelers
17,2015-01-03T13:00:00-05:00,Texans,Jaguars
17,2015-01-03T13:00:00-05:00,Colts,Titans
17,2015-01-03T13:00:00-05:00,Chiefs,Raiders
17,2015-01-03T13:00:00-05:00,Cowboys,Redskins
17,2015-01-03T13:00:00-05:00,Giants,Eagles
17,2015-01-03T13:00:00-05:00,Bears,Lions
17,2015-01-03T13:00:00-05:00,Packers,Vikings
17,2015-01-03T16:25:00-05:00,Broncos,Chargers
17,2015-01-03T16:25:00-05:00,Cardinals,Seahawks
17,2015-01-03T16:25:00-05:00,49ers,Rams
